"","restaurants","bars","cafe","college","casino","nightclub","pharmacy","theatre","university","antiques","art","bakery","tattoo","cinema","library","marketplace","railway_station","subway","hotels","volume"
"1536",336,64,266,12,0,6,5,2,28,0,14,0,0,1,23,0,2,14,56,"Very High"
"1537",59,1,20,6,0,1,7,0,0,0,0,7,0,0,1,0,30,0,236,"High"
"1538",182,9,82,0,0,1,27,0,607,0,9,2,0,0,2,0,3,9,158,"Very High"
"1539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1540",48,0,46,0,0,0,7,0,0,0,0,5,0,1,6,0,0,0,0,"Normal"
"1541",431,58,229,22,0,13,45,41,43,26,118,5,0,1,0,0,2,118,267,"Very High"
"1542",295,174,245,51,0,65,1,6,0,0,1,0,0,1,2,8,26,1,84,"Very High"
"1543",93,13,12,0,0,0,4,0,88,0,0,0,0,5,6,1,1,0,109,"High"
"1544",53,13,17,0,0,0,3,0,94,0,0,1,0,5,17,1,1,0,116,"High"
"1545",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,139,"Normal"
"1546",1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,"Normal"
"1547",70,6,47,29,0,0,21,20,51,0,0,10,8,1,1,0,2,0,32,"Normal"
"1548",875,98,422,34,1,11,27,78,904,0,83,45,20,21,53,0,2,83,456,"Massive"
"1549",76,14,46,4,0,1,2,0,101,0,0,5,5,0,19,0,2,0,0,"Normal"
"1550",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"1551",60,3,10,0,0,0,3,1,0,0,0,1,0,0,0,0,21,0,0,"Normal"
"1552",15,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,"Normal"
"1553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"Normal"
"1554",14,1,19,0,0,0,2,0,9,0,0,2,0,0,0,0,1,0,73,"Normal"
"1555",131,11,44,0,0,0,13,0,0,34,62,15,0,0,2,1,3,62,211,"High"
"1556",14,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,48,0,0,"Normal"
"1557",151,13,68,0,1,1,21,1,0,24,13,5,0,0,0,0,3,13,42,"High"
"1558",36,1,11,1,0,0,1,0,21,0,0,0,0,19,0,1,14,0,49,"Normal"
"1559",62,2,14,6,0,1,4,0,0,0,0,7,0,0,1,0,1,0,237,"High"
"1560",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1561",78,25,102,0,0,1,3,20,37,0,1,18,0,0,1,0,19,1,143,"High"
"1562",149,13,60,0,1,1,15,1,0,24,13,1,0,0,0,0,2,13,44,"High"
"1563",129,8,53,0,1,1,5,0,0,0,3,1,0,0,0,0,2,3,100,"High"
"1564",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1565",587,127,355,17,0,20,16,0,29,0,15,33,0,4,0,28,27,15,74,"Very High"
"1566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1567",146,4,121,0,0,0,17,0,0,0,1,8,0,0,0,0,38,1,562,"Very High"
"1568",139,12,140,1,0,0,25,34,640,0,2,0,0,0,39,0,68,2,166,"Very High"
"1569",18,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,"Normal"
"1570",38,0,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15,"Normal"
"1571",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1572",170,41,108,0,0,0,0,122,204,1,0,21,0,0,25,0,2,0,175,"Very High"
"1573",97,10,67,0,0,1,1,14,0,0,0,6,0,0,0,0,152,0,82,"High"
"1574",170,16,155,0,0,0,37,0,0,0,1,8,0,0,0,0,41,1,592,"Very High"
"1575",165,20,118,0,0,5,1,0,52,0,3,3,0,0,41,25,2,3,38,"High"
"1576",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,"Normal"
